row_index,PC1,PC2,PC3
0,-148.45976375090012,-133.44167782054382,-72.04364564724631
1,-109.27962446444266,-151.6731346378885,-117.51154869865883
2,225.3994287164139,-138.2082864214294,-55.107778080266215
3,-4.364757808100158,-73.34819572873786,33.95538017756063
4,-97.7217311753244,-171.21455672215092,-62.19012918106177
5,100.29527726031137,-173.16333541011306,109.31587512712716
6,-56.5660070537984,51.57476507749027,74.33921623991736
7,-174.1293278574161,-44.67487201904172,-48.15200534218913
8,-120.397978823992,-161.50993868169823,-76.70328498202791
9,-90.29785486235033,-138.16352939207795,-77.66542350225389
10,-18.19422266239863,-164.8481912765816,19.83284373938427
11,-137.88455849290833,-139.48938485956683,-103.72828412076012
12,-84.63967403415286,-149.68755818602656,-38.52814799957015
13,-98.2339980137356,-222.40030658795285,-90.38579978265052
14,-147.30979648508594,-91.00101292276503,-76.05389217349106
15,-130.03287015861582,-130.04533867264726,-52.87669777925604
16,-193.68051119214095,2.2225728624206185,-43.3801554882167
17,-141.60567679110125,-71.6973904291947,-54.536364913830965
18,-175.72395014450612,42.85966198357077,-5.722871045357447
19,393.0645852252884,132.4135968004493,-37.460986387750594
20,277.6047839657917,-38.959248762683984,-127.13463800688709
21,0.6485900338480978,-135.15315320411148,-41.07493923185813
22,2.8021385242808368,-175.0471702304842,40.18069263061352
23,-96.8999049972132,-122.44634065230065,-74.14401267299263
24,-143.23969727564787,-165.20205865522163,-69.66018181643146
25,-165.43556731781416,-70.1224343765808,-67.96051239559193
26,1121.6753775663178,109.40634553709728,332.8580971346134
27,178.1350770992845,-87.05636432582357,60.09686080107399
28,-151.03673944003756,-154.24900291973515,-90.16272599298235
29,-89.1882395348772,-157.75548771362102,-93.62625219906023
30,-140.05593882929003,-23.375483486964093,-78.89634596537539
31,-28.818964779901425,37.997504350590724,-42.927594179732225
32,517.8022780749774,-32.48420399349286,-129.81128816516826
33,-177.3836488234481,-89.70675245719258,-82.27811019993847
34,-157.98538420151334,-92.54261133411492,-74.81623009273648
35,-195.87989580422942,125.60457069138371,-80.43881610874138
36,545.9497392071219,-31.281369149016694,-233.6794863697209
37,304.9029709063033,-22.06606463758384,77.87104914873062
38,-132.82264403194594,-89.18901009172511,-30.202546067378112
39,-142.0017637224374,-74.2713390156232,-69.71186598813837
40,-135.1898166767107,-67.81168992967915,-47.08238045040257
